,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,saint-philippe,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
1,jamestown,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
2,saint-joseph,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
3,east london,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
4,concepcion,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
5,qaanaaq,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
6,sur,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
7,samarai,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
8,samusu,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
9,punta arenas,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
10,blagoyevo,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
11,toliary,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
12,busselton,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
13,hermanus,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
14,altus,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
15,kodiak,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
16,klaksvik,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
17,albany,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
18,kapaa,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
19,dimitrovgrad,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
20,hervey bay,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
21,maputo,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
22,wanning,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
23,esperance,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
24,gunnedah,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
25,plouzane,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
26,mataura,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
27,lata,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
28,tuktoyaktuk,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
29,saldanha,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
30,rikitea,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
31,panlinlang,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
32,airai,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
33,shaowu,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
34,tabou,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
35,chokurdakh,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
36,zapolyarnyy,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
37,new norfolk,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
38,beloha,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
39,avera,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
40,butaritari,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
41,seara,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
42,cape town,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
43,palabuhanratu,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
44,preobrazheniye,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
45,comodoro rivadavia,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
46,nizhneyansk,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
47,yerbogachen,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
48,taolanaro,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
49,port blair,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
50,honiara,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
51,do rud,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
52,sayat,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
53,porto novo,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
54,vaitupu,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
55,vardo,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
56,atuona,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
57,am timan,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
58,ponta do sol,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
59,bluff,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
60,sansepolcro,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
61,batagay,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
62,mabaruma,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
63,beyneu,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
64,batemans bay,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
65,ushuaia,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
66,carnarvon,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
67,luderitz,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
68,lasa,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
69,oeiras,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
70,ponta delgada,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
71,avarua,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
72,san patricio,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
73,ostrovnoy,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
74,awjilah,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
75,fairbanks,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
76,meulaboh,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
77,port elizabeth,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
78,bethel,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
79,ucluelet,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
80,riyadh,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
81,provideniya,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
82,cheuskiny,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
83,belaya gora,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
84,bratsk,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
85,mys shmidta,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
86,mar del plata,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
87,hobart,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
88,kitimat,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
89,mount pleasant,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
90,salalah,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
91,khatanga,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
92,tsihombe,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
93,tarakan,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
94,nikolskoye,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
95,kavieng,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
96,kerouane,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
97,rawlins,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
98,iqaluit,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
99,hukuntsi,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
100,victoria,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
101,isangel,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
102,bredasdorp,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
103,varnamo,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
104,hilo,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
105,pong,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
106,buffalo,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
107,bengkulu,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
108,hithadhoo,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
109,ati,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
110,scarborough,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
111,kruisfontein,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
112,mareeba,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
113,meyungs,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
114,nanortalik,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
115,ahipara,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
116,belushya guba,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
117,la palma del condado,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
118,xam nua,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
119,peravurani,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
120,arraial do cabo,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
121,amderma,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
122,kaitangata,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
123,torbay,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
124,ishigaki,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
125,aklavik,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
126,hasaki,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
127,illoqqortoormiut,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
128,udala,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
129,saint anthony,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
130,vestmanna,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
131,sentyabrskiy,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
132,saskylakh,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
133,ulaangom,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
134,rudnytsya,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
135,erdenet,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
136,puerto escondido,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
137,kamalpur,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
138,charters towers,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
139,jiayuguan,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
140,takoradi,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
141,gazni,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
142,tuatapere,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
143,nuuk,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
144,zhigansk,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
145,warqla,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
146,aksu,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
147,vaini,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
148,kupang,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
149,viligili,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
150,port hardy,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
151,omsukchan,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
152,thompson,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
